"groupId","pathId","nodeId","value"
"1","1","1","0.03500710275082995"
"1","1","2","0.058895982594899234"
"1","2","1","0.15101575983569296"
"1","2","2","0.07547921513262745"
"1","3","1","0.0777616712808773"
"1","3","2","0.07269111272891986"
"1","4","1","0.5078670159248546"
"1","4","2","0.07513108311969585"
"1","5","1","0.08141873876657851"
"1","5","2","0.07398786572796784"
"5","1","1","0.026030275596172773"
"5","1","2","0.11328950288459333"
"5","1","3","0.07219871195822214"
"5","2","1","0.055244417998003684"
"5","2","2","0.08526534125943662"
"5","2","3","0.09323828451889093"
"5","3","1","0.055244417998003684"
"5","3","2","0.08779169262901444"
"5","3","3","0.09657772155146634"
"5","4","1","0.055244417998003684"
"5","4","2","0.08429745080866093"
"5","4","3","0.10233093584216987"
"5","5","1","0.055244417998003684"
"5","5","2","0.04930848900190106"
"5","5","3","0.10397204026090374"
"10","1","1","0.08722799490515201"
"10","1","2","0.1195551482063114"
"10","1","3","0.1462327048527995"
"10","2","1","0.028366204209140204"
"10","2","2","0.12930650097983534"
"10","2","3","0.13385294913495874"
"10","3","1","0.19077499236009218"
"10","3","2","0.09581774950444796"
"10","3","3","0.16767739311823865"
"10","4","1","0.11450869895661314"
"10","4","2","0.186781459344238"
"10","4","3","0.17129039882043878"
"10","5","1","0.06687348918202911"
"10","5","2","0.1209049303107559"
"10","5","3","0.1471193334730087"
"11","1","1","0.03641045138638177"
"11","1","2","0.04623170763760842"
"11","1","3","0.05747086542959881"
"11","2","1","0.03641045138638177"
"11","2","2","0.046902139247466355"
"11","2","3","0.05650624125481497"
"11","3","1","0.03641045138638177"
"11","3","2","0.0605332064856844"
"11","3","3","0.056099269682619655"
"11","4","1","0.03641045138638177"
"11","4","2","0.05610736278751657"
"11","4","3","0.0565774123232253"
"11","5","1","0.03641045138638177"
"11","5","2","0.07301109819614789"
"11","5","3","0.05681911451697538"
"13","1","1","0.051190305269045056"
"13","1","2","0.13727550785066508"
"13","1","3","0.17074198013011352"
"13","2","1","0.09788954174572377"
"13","2","2","0.1299288605537269"
"13","2","3","0.07890223919073852"
"13","3","1","0.16341898436625782"
"13","3","2","0.19246088822461258"
"13","3","3","0.08210242738060138"
"13","4","1","0.05493256402961323"
"13","4","2","0.2257729836865328"
"13","5","1","0.04856806857968722"
"13","5","2","0.17551024539290488"
"17","1","1","0.1347323369543053"
"17","1","2","0.12203552867781738"
"17","1","3","0.14844946483593885"
"17","2","1","0.1111100257898282"
"17","2","2","0.23039589013108275"
"17","2","3","0.17282090556317833"
"17","3","1","0.1111100257898282"
"17","3","2","0.10085403719430573"
"17","3","3","0.16595152343161496"
"17","4","1","0.1111100257898282"
"17","4","2","0.2161895570448668"
"17","4","3","0.18497694070330778"
"17","5","1","0.1111100257898282"
"17","5","2","0.15268245706749733"
"18","1","1","0.15782681015287442"
"18","1","2","0.20826951337819033"
"18","2","1","0.32482253497092894"
"18","2","2","0.33922995199145645"
"18","3","1","0.30389470335759416"
"18","3","2","0.2955446831311341"
"18","4","1","0.1955222066410915"
"18","4","2","0.21275623491951245"
"18","5","1","0.47474960478438616"
"18","5","2","0.2253489436962876"
"21","1","1","0.7768964477099405"
"21","1","2","0.691083447966478"
"21","1","3","0.8830579927858982"
"21","2","1","0.7858457643595803"
"21","2","2","0.7078655537431138"
"21","3","1","0.7840083941689234"
"21","3","2","0.7154013096658393"
"21","4","1","0.783589876927704"
"21","4","2","0.7253726643335728"
"21","5","1","0.7491975590731359"
"21","5","2","0.7095044796009301"
"22","1","1","0.036932597322254"
"22","1","2","0.05516793610426656"
"22","1","3","0.03973283758779391"
"22","2","1","0.036932597322254"
"22","2","2","0.09334763933073531"
"22","2","3","0.04010932611567186"
"22","3","1","0.036932597322254"
"22","3","2","0.10322299029573473"
"22","3","3","0.040143057168698495"
"22","4","1","0.05516258298374365"
"22","4","2","0.13889824474094045"
"22","4","3","0.03809345215370203"
"22","5","1","0.036932597322254"
"22","5","2","0.04036386673070688"
"31","1","1","0.18131404623097733"
"31","1","2","0.14518757651604405"
"31","1","3","0.19880680210051593"
"31","2","1","0.18131404623097733"
"31","2","2","0.1783433900203497"
"31","2","3","0.18546082018195734"
"31","3","1","0.18131404623097733"
"31","3","2","0.13574123250886358"
"31","3","3","0.1893728918145229"
"31","4","1","0.09100564954459933"
"31","4","2","0.13972160236424036"
"31","5","1","0.18131404623097733"
"31","5","2","0.16642733003075313"
"31","5","3","0.15348467759863405"
"34","1","1","0.009362466031131113"
"34","1","2","0.07507301827752329"
"34","1","3","0.1621628983927134"
"34","2","1","0.009362466031131113"
"34","2","2","0.1180491443532448"
"34","2","3","0.1762981226357696"
"34","3","1","0.025408488284713236"
"34","3","2","0.11235124843612809"
"34","3","3","0.12976873957521376"
"34","4","1","0.07851543702325343"
"34","4","2","0.08995947703140107"
"34","4","3","0.07133628080123001"
