"groupId","pathId","nodeId","value"
"4","1","1","0.9028076472632751"
"4","1","2","0.1306076990762713"
"4","1","3","0.1310138132391118"
"4","1","4","0.10622085992277747"
"4","1","5","0.11526350197389719"
"4","2","1","0.11710266252580076"
"4","2","2","0.07651419220071336"
"4","2","3","0.08053612929047455"
"4","3","1","0.12567263890039299"
"4","3","2","0.13409103425246455"
"4","3","3","0.12294961551762187"
"4","3","4","0.13924056506107108"
"4","4","1","0.1614132570706379"
"4","4","2","0.14054284949169593"
"4","4","3","0.10684338765634149"
"4","4","4","0.11558291884468899"
"4","5","1","0.16713806422841698"
"4","5","2","0.11034768521055466"
"4","5","3","0.10534676267104555"
"4","5","4","0.11396950792212181"
"9","1","1","0.12471810353283176"
"9","1","2","0.16802897202172795"
"9","1","3","0.11075697300267487"
"9","1","4","0.18356097609426317"
"9","2","1","0.1575268623954604"
"9","2","2","0.17754344097293331"
"9","2","3","0.22778261274464007"
"9","2","4","0.19651963456214797"
"9","3","1","0.1575268623954604"
"9","3","2","0.17324399762193807"
"9","3","3","0.17679749110711837"
"9","4","1","0.1575268623954604"
"9","4","2","0.17627599123694052"
"9","4","3","0.1856195106215518"
"9","4","4","0.22821201045739375"
"9","5","1","0.21369493053953556"
"9","5","2","0.10882563783792269"
"9","5","3","0.15077783675254136"
"9","5","4","0.18925888750523795"
"13","1","1","0.14592208756649128"
"13","1","2","0.1144184807506344"
"13","1","3","0.13490253044900435"
"13","1","4","0.1337194445320472"
"13","1","5","0.17584756071311586"
"13","2","1","0.30530408214416277"
"13","2","2","0.13504010616790915"
"13","2","3","0.17985145311672537"
"13","2","4","0.21191420015101145"
"13","3","1","0.11757368959791352"
"13","3","2","0.16661478447636216"
"13","3","3","0.17739975891905005"
"13","3","4","0.18155690150903428"
"13","3","5","0.21589978432247958"
"13","4","1","0.1754588319215759"
"13","4","2","0.15919863770527862"
"13","4","3","0.1338995528438395"
"13","4","4","0.14597308791576527"
"13","4","5","0.14697265096115186"
"13","4","6","0.21375252568558245"
"13","5","1","0.30530408214416277"
"13","5","2","0.16623762052668492"
"13","5","3","0.18868537070622102"
"13","5","4","0.17297245680093065"
"13","5","5","0.21169109878396306"
"13","5","6","0.23529856981832548"
"15","1","1","0.5419387958813366"
"15","1","2","0.42795579723179233"
"15","1","3","0.31364241612229826"
"15","1","4","0.17078449034005957"
"15","1","5","0.15376126543713217"
"15","2","1","0.30496417892607136"
"15","2","2","0.1786014737404386"
"15","2","3","0.14508500720036027"
"15","3","1","0.4209728702515762"
"15","3","2","0.15418045041859413"
"15","3","3","0.15220078711259855"
"15","4","1","0.5419387958813366"
"15","4","2","0.42795579723179233"
"15","4","3","0.31364241612229826"
"15","4","4","0.14570012163314408"
"15","5","1","0.5419387958813366"
"15","5","2","0.2464483454973148"
"15","5","3","0.270391792304586"
"15","5","4","0.15651182119746163"
"15","5","5","0.156619188538892"
"16","1","1","0.10939989864463458"
"16","1","2","0.10762945881223063"
"16","1","3","0.10253033886479161"
"16","1","4","0.09825079154884193"
"16","2","1","0.08267334120451054"
"16","2","2","0.09632672302948932"
"16","2","3","0.08159737576570587"
"16","2","4","0.08644297233888402"
"16","3","1","0.04624388244688677"
"16","3","2","0.058846643719021506"
"16","3","3","0.09169996852575674"
"16","4","1","0.1310821047979664"
"16","4","2","0.23475840893842692"
"16","4","3","0.11817576899890624"
"16","4","4","0.09836698677073509"
"16","4","5","0.0913051390123845"
"16","4","6","0.09197072053971214"
"16","5","1","0.1310821047979664"
"16","5","2","0.12712237239474591"
"16","5","3","0.11723270357528574"
"16","5","4","0.09093282732282267"
"16","5","5","0.09301993465532163"
"16","5","6","0.08640924236050826"
"23","1","1","0.1584136122660902"
"23","1","2","0.17814331257994132"
"23","1","3","0.17710108294097"
"23","1","4","0.15308336388324567"
"23","2","1","0.17967444710710848"
"23","2","2","0.16693942675280096"
"23","2","3","0.1568703604929735"
"23","3","1","0.14699090025047432"
"23","3","2","0.15582762659385804"
"23","4","1","0.10101468189266752"
"23","4","2","0.10586531086502639"
"23","4","3","0.33854996228136114"
"23","4","4","0.10573317904838"
"23","5","1","0.1584136122660902"
"23","5","2","0.21747103680741134"
"23","5","3","0.15623801493827522"
"24","1","1","0.135888684738326"
"24","1","2","0.16637887981728516"
"24","1","3","0.16224565450602485"
"24","1","4","0.11748993398172863"
"24","2","1","0.2240484001986801"
"24","2","2","0.17129469974720357"
"24","2","3","0.25012037477852195"
"24","2","4","0.3076709574293085"
"24","2","5","0.14150830006617016"
"24","3","1","0.135888684738326"
"24","3","2","0.22108510748270258"
"24","3","3","0.31329858686312795"
"24","3","4","0.13331879982749842"
"24","4","1","0.2240484001986801"
"24","4","2","0.21812478504823302"
"24","4","3","0.3228440891407177"
"24","4","4","0.1442537950021969"
"24","5","1","0.23285613208441647"
"24","5","2","0.3144033446462153"
"24","5","3","0.14538772611895093"
"24","5","4","0.20119979575351565"
"24","5","5","0.1149218347941751"
"27","1","1","0.09520401953790064"
"27","1","2","0.1155097253500383"
