"groupId","pathId","nodeId","value"
"4","1","1","0.9028076472632751"
"4","1","2","0.1306076990762713"
"4","1","3","0.1310138132391118"
"4","1","4","0.10622085992277747"
"4","1","5","0.11526350197389719"
"4","2","1","0.13615217974901914"
"4","2","2","0.12623831510914965"
"4","2","3","0.09602505509349413"
"4","2","4","0.09712970558891501"
"4","3","1","0.1614132570706379"
"4","3","2","0.1397958638130352"
"4","3","3","0.10631222323788463"
"4","3","4","0.11559544354208484"
"4","4","1","0.12567263890039299"
"4","4","2","0.13409103425246455"
"4","4","3","0.11108291111994106"
"4","5","1","0.11867247959798165"
"4","5","2","0.07675586641942"
"4","5","3","0.0791485042604123"
"9","1","1","0.1623671295342647"
"9","1","2","0.1877072836039602"
"9","1","3","0.19338173490631833"
"9","1","4","0.21181794421831515"
"9","2","1","0.12471810353283176"
"9","2","2","0.16802897202172795"
"9","2","3","0.2009447076285826"
"9","2","4","0.19833342744382287"
"9","3","1","0.20556157239815098"
"9","3","2","0.2325925642922877"
"9","3","3","0.2268311687219691"
"9","3","4","0.21613551959237473"
"9","4","1","0.15146891008757704"
"9","4","2","0.17763710368590302"
"9","4","3","0.23208351704977281"
"9","5","1","0.20556157239815098"
"9","5","2","0.20451733610391037"
"9","5","3","0.24847742865598044"
"13","1","1","0.14592208756649128"
"13","1","2","0.1144184807506344"
"13","1","3","0.13490253044900435"
"13","1","4","0.1337194445320472"
"13","1","5","0.17584756071311586"
"13","2","1","0.30530408214416277"
"13","2","2","0.13504010616790915"
"13","2","3","0.17985145311672537"
"13","2","4","0.21191420015101145"
"13","3","1","0.11757368959791352"
"13","3","2","0.16661478447636216"
"13","3","3","0.17739975891905005"
"13","3","4","0.18155690150903428"
"13","3","5","0.21589978432247958"
"13","4","1","0.1754588319215759"
"13","4","2","0.15919863770527862"
"13","4","3","0.1338995528438395"
"13","4","4","0.14597308791576527"
"13","4","5","0.14697265096115186"
"13","4","6","0.21375252568558245"
"13","5","1","0.30530408214416277"
"13","5","2","0.16623762052668492"
"13","5","3","0.18868537070622102"
"13","5","4","0.17297245680093065"
"13","5","5","0.21169109878396306"
"13","5","6","0.23529856981832548"
"15","1","1","0.5419387958813366"
"15","1","2","0.2464483454973148"
"15","1","3","0.270391792304586"
"15","1","4","0.15651182119746163"
"15","1","5","0.156619188538892"
"15","2","1","0.4209728702515762"
"15","2","2","0.1556216611809617"
"15","2","3","0.15697792411478967"
"15","3","1","0.30496417892607136"
"15","3","2","0.1904006243819787"
"15","3","3","0.146293593405422"
"15","3","4","0.15489131801557277"
"15","4","1","0.36933649883783964"
"15","4","2","0.17023986158180907"
"15","4","3","0.15323829167908085"
"15","4","4","0.2113570183371059"
"15","5","1","0.5419387958813366"
"15","5","2","0.42795579723179233"
"15","5","3","0.31364241612229826"
"15","5","4","0.14570012163314408"
"16","1","1","0.1310821047979664"
"16","1","2","0.23475840893842692"
"16","1","3","0.11817576899890624"
"16","1","4","0.09836698677073509"
"16","1","5","0.0913051390123845"
"16","1","6","0.09197072053971214"
"16","2","1","0.08267334120451054"
"16","2","2","0.09632672302948932"
"16","2","3","0.10807841521588037"
"16","2","4","0.09064851449055461"
"16","2","5","0.0887589897830817"
"16","3","1","0.08267334120451054"
"16","3","2","0.06595629970474008"
"16","3","3","0.07946917357282247"
"16","3","4","0.0929766335015927"
"16","4","1","0.04624388244688677"
"16","4","2","0.12085049302343176"
"16","4","3","0.10070676328612548"
"16","4","4","0.10384497348648901"
"16","5","1","0.04624388244688677"
"16","5","2","0.058846643719021506"
"16","5","3","0.09169996852575674"
"23","1","1","0.1584136122660902"
"23","1","2","0.17814331257994132"
"23","1","3","0.17710108294097"
"23","1","4","0.15308336388324567"
"23","2","1","0.1584136122660902"
"23","2","2","0.1624003956462875"
"23","2","3","0.154998224616089"
"23","3","1","0.14732451495927149"
"23","3","2","0.1578386853988559"
"23","4","1","0.1584136122660902"
"23","4","2","0.21747103680741134"
"23","4","3","0.15623801493827522"
"23","5","1","0.10101468189266752"
"23","5","2","0.10586531086502639"
"23","5","3","0.1169222779485131"
"24","1","1","0.135888684738326"
"24","1","2","0.16637887981728516"
"24","1","3","0.16224565450602485"
"24","1","4","0.11748993398172863"
"24","2","1","0.2240484001986801"
"24","2","2","0.17129469974720357"
"24","2","3","0.25012037477852195"
"24","2","4","0.3076709574293085"
"24","2","5","0.14150830006617016"
"24","3","1","0.135888684738326"
"24","3","2","0.22108510748270258"
"24","3","3","0.31329858686312795"
"24","3","4","0.13331879982749842"
"24","4","1","0.2240484001986801"
"24","4","2","0.21812478504823302"
"24","4","3","0.3228440891407177"
"24","4","4","0.1442537950021969"
"24","5","1","0.23285613208441647"
"24","5","2","0.3144033446462153"
"24","5","3","0.14538772611895093"
"24","5","4","0.20119979575351565"
"24","5","5","0.1149218347941751"
"27","1","1","0.05718705710668095"
"27","1","2","0.13437519658968242"
"27","1","3","0.10835215664570676"
"27","1","4","0.10146659333554703"
"27","1","5","0.15593082358086355"
"27","1","6","0.11099765916916021"
