"groupId","pathId","nodeId","value"
"4","1","0","5559.4334922259395"
"4","1","1","554.4953918802295"
"4","1","2","410.0084940472476"
"4","1","3","264.24612326348387"
"4","1","4","230.62937665420824"
"4","2","0","1215.59863266216"
"4","2","1","630.3601157568067"
"4","2","2","277.82618341802925"
"4","3","0","982.8960374057826"
"4","3","1","588.1227677499209"
"4","3","2","438.2553102458872"
"4","3","3","326.99308043442323"
"4","4","0","990.7810134620145"
"4","4","1","782.4365764090201"
"4","4","2","375.75323779808633"
"4","4","3","313.8522239627954"
"4","5","0","1240.633540714041"
"4","5","1","547.5562761989091"
"4","5","2","397.50707226230503"
"4","5","3","330.05194876083533"
"9","1","0","1615.6411094786781"
"9","1","1","1059.0783258861272"
"9","1","2","1822.0934895724283"
"9","1","3","1067.6220220302941"
"9","2","0","1722.7826170419416"
"9","2","1","926.46771942085"
"9","2","2","1519.6262240339531"
"9","2","3","1174.2316782700677"
"9","3","0","1722.7826170419416"
"9","3","1","963.1884420661819"
"9","3","2","1579.1430155036794"
"9","4","0","1722.7826170419416"
"9","4","1","911.5723873885487"
"9","4","2","865.9536271823689"
"9","4","3","3703.3624674751313"
"9","5","0","1774.7919804963622"
"9","5","1","687.4367662924742"
"9","5","2","1060.793608690836"
"9","5","3","1927.7046893069328"
"13","1","0","1375.6464401911162"
"13","1","1","820.9247134570358"
"13","1","2","397.7692677040686"
"13","1","3","490.04710907379655"
"13","1","4","551.183125641946"
"13","2","0","1535.4061260880828"
"13","2","1","698.7797655577543"
"13","2","2","2242.929014627016"
"13","2","3","1211.7700541176841"
"13","3","0","1147.088400581255"
"13","3","1","2220.4677122603775"
"13","3","2","1154.6266608121705"
"13","3","3","950.1196428761243"
"13","3","4","463.2836560014725"
"13","4","0","1217.6353921834107"
"13","4","1","710.6341108734139"
"13","4","2","705.6455472651783"
"13","4","3","1465.809703962438"
"13","4","4","563.7608152584306"
"13","4","5","440.43889855753577"
"13","5","0","1535.4061260880828"
"13","5","1","729.6761253098056"
"13","5","2","1043.8920247342035"
"13","5","3","465.05953420839353"
"13","5","4","780.2453797938967"
"13","5","5","623.984346283491"
"15","1","0","1375.2189431141242"
"15","1","1","978.6695180601578"
"15","1","2","784.9817385191816"
"15","1","3","593.9392840550206"
"15","1","4","454.80451961076244"
"15","2","0","1153.160577347456"
"15","2","1","1149.1253548659731"
"15","2","2","747.0835178059081"
"15","3","0","1205.9090858672384"
"15","3","1","683.2934114544588"
"15","3","2","699.8860976302008"
"15","4","0","1375.2189431141242"
"15","4","1","978.6695180601578"
"15","4","2","784.9817385191816"
"15","4","3","581.950181082962"
"15","5","0","1375.2189431141242"
"15","5","1","829.78230177906"
"15","5","2","1009.5047433291835"
"15","5","3","939.395423204476"
"15","5","4","666.7166295881364"
"16","1","0","553.084625745879"
"16","1","1","1444.8699740046684"
"16","1","2","529.7191883747428"
"16","1","3","282.5278942115608"
"16","2","0","476.2897562646329"
"16","2","1","836.8259765125001"
"16","2","2","956.4107824680727"
"16","2","3","333.0760984142037"
"16","3","0","475.09566968646334"
"16","3","1","854.4408868194586"
"16","3","2","398.0539263211237"
"16","4","0","700.6928325155654"
"16","4","1","1637.03291799867"
"16","4","2","587.5776703703056"
"16","4","3","331.5676112342044"
"16","4","4","293.300033164548"
"16","4","5","176.1659252556483"
"16","5","0","700.6928325155654"
"16","5","1","1558.938539789299"
"16","5","2","613.5410169458353"
"16","5","3","237.41032246019276"
"16","5","4","191.8134017872351"
"16","5","5","153.89905094259643"
"23","1","0","681.6290262260446"
"23","1","1","1264.8381519801992"
"23","1","2","801.1631347679319"
"23","1","3","264.9871689709023"
"23","2","0","764.0766896366281"
"23","2","1","899.7465376375336"
"23","2","2","287.84422597272044"
"23","3","0","881.6168103586015"
"23","3","1","381.22407527072954"
"23","4","0","633.8177179095616"
"23","4","1","1277.3072539693117"
"23","4","2","1317.922712193345"
"23","4","3","294.96804627318517"
"23","5","0","681.6290262260446"
"23","5","1","1206.970834133986"
"23","5","2","550.6726318447842"
"24","1","0","1123.1449280585305"
"24","1","1","1368.2867825238159"
"24","1","2","510.7207814974409"
"24","1","3","428.4807170694106"
"24","2","0","1265.949954153788"
"24","2","1","813.8532134997033"
"24","2","2","702.229774371959"
"24","2","3","660.3911900296056"
"24","2","4","392.06824283458366"
"24","3","0","1123.1449280585305"
"24","3","1","931.5692056923122"
"24","3","2","783.3756365057891"
"24","3","3","434.345129446963"
"24","4","0","1265.949954153788"
"24","4","1","857.7399052361403"
"24","4","2","778.0723592766282"
"24","4","3","448.5542423100809"
"24","5","0","2047.1025459622433"
"24","5","1","1968.552552046305"
"24","5","2","478.13648356725554"
"24","5","3","990.2645827084039"
"24","5","4","343.2647259457641"
"27","1","0","623.7409033130726"
"27","1","1","793.3908304259967"
"27","1","2","979.4376176308391"
"27","2","0","345.4335719394529"
"27","2","1","1190.3077301840337"
"27","2","2","559.3183473610561"
"27","2","3","1460.727637376724"
"27","2","4","742.9521198693149"
"27","2","5","375.51919661213304"
"27","2","6","606.4397489631056"
"27","3","0","345.4335719394529"
"27","3","1","1190.3077301840337"
"27","3","2","653.6231692364182"
"27","3","3","597.2332447530184"
"27","3","4","3752.2860895727936"
"27","3","5","412.121637999777"
"27","4","0","345.4335719394529"
"27","4","1","1190.3077301840337"
"27","4","2","653.6231692364182"
"27","4","3","597.2332447530184"
"27","4","4","3752.2860895727936"
"27","4","5","459.7647516501603"
"27","4","6","321.89563649391084"
"27","5","0","345.4335719394529"
"27","5","1","1190.3077301840337"
"27","5","2","653.6231692364182"
"27","5","3","597.2332447530184"
"27","5","4","3769.2215342795384"
"27","5","5","486.6420713421591"
"27","5","6","331.36884794485394"
"31","1","0","135.73542867643644"
"31","1","1","843.269817589214"
"31","1","2","1980.9394273218188"
"31","2","0","112.78046245947465"
"31","2","1","657.2580508585813"
"31","2","2","367.9063990943242"
"31","2","3","327.99864460697717"
"31","2","4","306.7369449377428"
"31","2","5","272.3415188847458"
"31","3","0","135.73542867643644"
"31","3","1","843.269817589214"
"31","3","2","1970.731241276901"
"31","3","3","807.8450610420637"
"31","3","4","8673.625514689382"
"31","4","0","112.78046245947465"
"31","4","1","657.2580508585813"
"31","4","2","374.3870917273438"
"31","4","3","518.0785157795606"
"31","4","4","310.746116574625"
"31","5","0","135.73542867643644"
"31","5","1","843.269817589214"
"31","5","2","1970.731241276901"
"31","5","3","968.3672316948994"
"31","5","4","1460.5728972013405"
"35","1","0","822.9624673258149"
"35","1","1","963.1761009318593"
"35","1","2","1066.465474786568"
"35","1","3","1548.184368917643"
"35","2","0","919.3523352676575"
"35","2","1","1154.4650406774522"
"35","2","2","925.2274151754106"
"35","3","0","931.9587902144816"
"35","3","1","768.4415229229029"
"35","3","2","2038.7359782719698"
"35","3","3","429.80596686207207"
"35","4","0","919.3523352676575"
"35","4","1","1107.5231325899356"
"35","4","2","826.1663002320531"
"35","4","3","703.9671269853378"
"35","5","0","891.3214010862647"
"35","5","1","1281.786521376309"
"35","5","2","975.0142481422178"
"38","1","0","235.22743411547387"
"38","1","1","549.4555255485509"
"38","1","2","498.77538609131005"
"38","2","0","235.22743411547387"
"38","2","1","549.4555255485509"
"38","2","2","455.7123232440316"
"38","2","3","1264.7116772339223"
"38","2","4","599.8797410281514"
"38","2","5","390.8284427481575"
"38","2","6","780.0267195949147"
"38","3","0","235.22743411547387"
"38","3","1","549.4555255485509"
"38","3","2","455.7123232440316"
"38","3","3","1264.7116772339223"
"38","3","4","599.8797410281514"
"38","3","5","459.28900504582157"
"38","3","6","577.0848128045327"
"38","4","0","235.22743411547387"
"38","4","1","573.7502190002912"
"38","4","2","755.3165849396424"
"38","4","3","644.7094610025376"
"38","5","0","235.22743411547387"
"38","5","1","549.4555255485509"
"38","5","2","455.7123232440316"
"38","5","3","1264.7116772339223"
"38","5","4","604.1542547636743"
"38","5","5","1238.5186925636156"
"39","1","0","1012.0028324871487"
"39","1","1","4766.775319588897"
"39","1","2","492.14917521521556"
"39","2","0","1319.5232767083914"
"39","2","1","934.149694388205"
"39","2","2","294.9588022437207"
"39","2","3","227.81569600037818"
"39","3","0","1319.5232767083914"
"39","3","1","692.7390577156091"
"39","3","2","370.5019034473411"
"39","3","3","256.91817516978415"
"39","4","0","1319.5232767083914"
"39","4","1","705.3669815283105"
"39","4","2","163.36909490950896"
