"start","stop","path","selection_rate","non_ordered_ratio","ordered_ratio","non_ordered_ratio_median","non_ordered_ratio_mean","ordered_ratio_mean","ordered_ratio_median","ordered_max","non_ordered_max","ordered_min","non_ordered_min"
"Henry_Lizardlover","5USA","6669047,16118202,2612794,5448852","0.0","0.21805698813821559","0.04017256253881776","0.4331162970603404","0.21717662132542548","0.040903924874802385","0.08161314811395484","0.042247334594178246","0.22231175863847344","0.04017256253881776","0.215736204228984"
"Henry_Lizardlover","5USA","6669047,406672,18879190,5448852","0.8","0.21660649819494585","0.04082903580254626","0.4331162970603404","0.21717662132542548","0.040903924874802385","0.08161314811395484","0.042247334594178246","0.22231175863847344","0.04017256253881776","0.215736204228984"
"Henry_Lizardlover","5USA","6669047,406672,623322,5448852","0.0","0.21812145435791644","0.04172108798370846","0.4331162970603404","0.21717662132542548","0.040903924874802385","0.08161314811395484","0.042247334594178246","0.22231175863847344","0.04017256253881776","0.215736204228984"
"Henry_Lizardlover","5USA","6669047,406672,13065042,5448852","0.2","0.22231175863847344","0.042247334594178246","0.4331162970603404","0.21717662132542548","0.040903924874802385","0.08161314811395484","0.042247334594178246","0.22231175863847344","0.04017256253881776","0.215736204228984"
"Henry_Lizardlover","5USA","6669047,406672,24471412,5448852","0.0","0.21638086642599277","0.04071993589549765","0.4331162970603404","0.21717662132542548","0.040903924874802385","0.08161314811395484","0.042247334594178246","0.22231175863847344","0.04017256253881776","0.215736204228984"
"Yang_Lin_(footballer)","Xiao_Zhi","17288021,26998207,19414382,24600599","0.0","0.41667195330838036","0.12265073751393188","0.41667195330838036","0.41697646387109055","0.12243614012819064","0.12268936201472584","0.12300284489435465","0.41876546342701265","0.12130403365864353","0.4152762798959589"
"Yang_Lin_(footballer)","Xiao_Zhi","17288021,19412343,24723772,24600599","0.0","0.4172429106134619","0.12300284489435465","0.41667195330838036","0.41697646387109055","0.12243614012819064","0.12268936201472584","0.12300284489435465","0.41876546342701265","0.12130403365864353","0.4152762798959589"
"Yang_Lin_(footballer)","Xiao_Zhi","17288021,19412343,19414382,24600599","0.0","0.4172429106134619","0.12300284489435465","0.41667195330838036","0.41697646387109055","0.12243614012819064","0.12268936201472584","0.12300284489435465","0.41876546342701265","0.12130403365864353","0.4152762798959589"
"Yang_Lin_(footballer)","Xiao_Zhi","17288021,1741957,8933627,24600599","0.8","0.4154031592970881","0.12130403365864353","0.41667195330838036","0.41697646387109055","0.12243614012819064","0.12268936201472584","0.12300284489435465","0.41876546342701265","0.12130403365864353","0.4152762798959589"
"Yang_Lin_(footballer)","Xiao_Zhi","17288021,16691023,24723772,24600599","0.2","0.41667195330838036","0.12282679120414328","0.41667195330838036","0.41697646387109055","0.12243614012819064","0.12268936201472584","0.12300284489435465","0.41876546342701265","0.12130403365864353","0.4152762798959589"
"Centralia,_IL_Micropolitan_Statistical_Area","Alexander_County,_Illinois","39162178,96206,57249,96292","0.0","0.3661940751365367","0.18438524484575464","0.3671319026866001","0.3676416395432229","0.17619319467726335","0.17439572313443388","0.20371889782075467","0.37281403431345506","0.1733855467816037","0.3654769128923705"
"Centralia,_IL_Micropolitan_Statistical_Area","Alexander_County,_Illinois","39162178,96206,96292","0.2","0.3654769128923705","0.20371889782075467","0.3671319026866001","0.3676416395432229","0.17619319467726335","0.17439572313443388","0.20371889782075467","0.37281403431345506","0.1733855467816037","0.3654769128923705"
"Centralia,_IL_Micropolitan_Statistical_Area","Alexander_County,_Illinois","39162178,96206,533773,96292","0.4","0.36702157003365143","0.1738345140495282","0.3671319026866001","0.3676416395432229","0.17619319467726335","0.17439572313443388","0.20371889782075467","0.37281403431345506","0.1733855467816037","0.3654769128923705"
"Centralia,_IL_Micropolitan_Statistical_Area","Alexander_County,_Illinois","39162178,96206,329945,96292","0.4","0.3670767363601258","0.1733855467816037","0.3671319026866001","0.3676416395432229","0.17619319467726335","0.17439572313443388","0.20371889782075467","0.37281403431345506","0.1733855467816037","0.3654769128923705"
"Centralia,_IL_Micropolitan_Statistical_Area","Alexander_County,_Illinois","39162178,96206,96192,96292","0.0","0.36564241187179347","0.17498499267358486","0.3671319026866001","0.3676416395432229","0.17619319467726335","0.17439572313443388","0.20371889782075467","0.37281403431345506","0.1733855467816037","0.3654769128923705"
"Yoshikiyo_Kuboyama","2008_Japan_Football_League","14817181,448902,9223216,21632697","0.0","0.3355495532931643","0.100215410765679","0.3356014959484729","0.3361292333264077","0.10250700599321746","0.09970605670842016","0.11489285844340902","0.34271763972574276","0.09851715031794897","0.33383544566798257"
"Yoshikiyo_Kuboyama","2008_Japan_Football_League","14817181,7754377,21632861,21632697","1.0","0.3339393309785996","0.09851715031794897","0.3356014959484729","0.3361292333264077","0.10250700599321746","0.09970605670842016","0.11489285844340902","0.34271763972574276","0.09851715031794897","0.33383544566798257"
"Yoshikiyo_Kuboyama","2008_Japan_Football_League","14817181,1171566,21632697","0.0","0.33632869312279245","0.11440518242108988","0.3356014959484729","0.3361292333264077","0.10250700599321746","0.09970605670842016","0.11489285844340902","0.34271763972574276","0.09851715031794897","0.33383544566798257"
"Yoshikiyo_Kuboyama","2008_Japan_Football_League","14817181,448902,31237889,21632697","0.0","0.3356014959484729","0.09954688356552675","0.3356014959484729","0.3361292333264077","0.10250700599321746","0.09970605670842016","0.11489285844340902","0.34271763972574276","0.09851715031794897","0.33383544566798257"
"Yoshikiyo_Kuboyama","2008_Japan_Football_League","14817181,1175220,21632697","0.0","0.33830251402451694","0.11489285844340902","0.3356014959484729","0.3361292333264077","0.10250700599321746","0.09970605670842016","0.11489285844340902","0.34271763972574276","0.09851715031794897","0.33383544566798257"
"Jack_Sears","International_Formula_Master","7534179,1513032,52243,11292165","0.4","0.29726146390527136","0.10102256556663053","0.3033420198418141","0.3094518355963974","0.10645064770958713","0.10399636041604608","0.12048332764314923","0.33758515064234446","0.10102256556663053","0.29726146390527136"
"Jack_Sears","International_Formula_Master","7534179,181892,52243,11292165","0.0","0.3292643898870754","0.11439438527838794","0.3033420198418141","0.3094518355963974","0.10645064770958713","0.10399636041604608","0.12048332764314923","0.33758515064234446","0.10102256556663053","0.29726146390527136"
"Jack_Sears","International_Formula_Master","7534179,2911403,1022,11292165","0.2","0.30855392493027933","0.10651329956606091","0.3033420198418141","0.3094518355963974","0.10645064770958713","0.10399636041604608","0.12048332764314923","0.33758515064234446","0.10102256556663053","0.29726146390527136"
"Jack_Sears","International_Formula_Master","7534179,181892,21114,11292165","0.0","0.33758515064234446","0.12048332764314923","0.3033420198418141","0.3094518355963974","0.10645064770958713","0.10399636041604608","0.12048332764314923","0.33758515064234446","0.10102256556663053","0.29726146390527136"
"Jack_Sears","International_Formula_Master","7534179,3347772,2022221,11292165","0.4","0.3033420198418141","0.10281515776880137","0.3033420198418141","0.3094518355963974","0.10645064770958713","0.10399636041604608","0.12048332764314923","0.33758515064234446","0.10102256556663053","0.29726146390527136"
"Cairns_and_District_Rugby_Union","Victoria_(Australia)","27221188,305553,4689460","0.0","0.45495722194262705","0.38706349267625084","0.45661082752174853","0.4602602631389747","0.31123155165265604","0.302277298853366","0.3884931474588995","0.4990294054209505","0.2993679889510237","0.45409447120569413"
"Cairns_and_District_Rugby_Union","Victoria_(Australia)","27221188,879304,4689460","0.0","0.45409447120569413","0.3884931474588995","0.45661082752174853","0.4602602631389747","0.31123155165265604","0.302277298853366","0.3884931474588995","0.4990294054209505","0.2993679889510237","0.45409447120569413"
"Cairns_and_District_Rugby_Union","Victoria_(Australia)","27221188,305553,1098008,4689460","0.0","0.45524480552160473","0.2993679889510237","0.45661082752174853","0.4602602631389747","0.31123155165265604","0.302277298853366","0.3884931474588995","0.4990294054209505","0.2993679889510237","0.45409447120569413"
"Cairns_and_District_Rugby_Union","Victoria_(Australia)","27221188,879304,4437095,4689460","1.0","0.45567618089007117","0.30125241380779433","0.45661082752174853","0.4602602631389747","0.31123155165265604","0.302277298853366","0.3884931474588995","0.4990294054209505","0.2993679889510237","0.45409447120569413"
"Cairns_and_District_Rugby_Union","Victoria_(Australia)","27221188,305553,127729,4689460","0.0","0.45761737004817027","0.30271369533871734","0.45661082752174853","0.4602602631389747","0.31123155165265604","0.302277298853366","0.3884931474588995","0.4990294054209505","0.2993679889510237","0.45409447120569413"
"The_Magic_Key_(song)","Little_by_Little_(Oasis_song)","22382839,156541,161515,1891965","0.4","0.5454189506656225","0.2959645008994894","0.9925606891151135","0.5014878621769773","0.2749021751823781","0.5385089172115891","0.3159175079701032","0.5454189506656225","0.2657218401088865","0.49451840250587314"
"The_Magic_Key_(song)","Little_by_Little_(Oasis_song)","22382839,156541,1891965","0.2","0.49451840250587314","0.3159175079701032","0.9925606891151135","0.5014878621769773","0.2749021751823781","0.5385089172115891","0.3159175079701032","0.5454189506656225","0.2657218401088865","0.49451840250587314"
"The_Magic_Key_(song)","Little_by_Little_(Oasis_song)","22382839,53207,156541,1891965","0.2","0.4955364134690681","0.2657218401088865","0.9925606891151135","0.5014878621769773","0.2749021751823781","0.5385089172115891","0.3159175079701032","0.5454189506656225","0.2657218401088865","0.49451840250587314"
"The_Magic_Key_(song)","Little_by_Little_(Oasis_song)","22382839,156540,156541,1891965","0.2","0.49498825371965544","0.266583454376425","0.9925606891151135","0.5014878621769773","0.2749021751823781","0.5385089172115891","0.3159175079701032","0.5454189506656225","0.2657218401088865","0.49451840250587314"
"The_Magic_Key_(song)","Little_by_Little_(Oasis_song)","22382839,156541,6689795,1891965","0.0","0.49451840250587314","0.27020223430008694","0.9925606891151135","0.5014878621769773","0.2749021751823781","0.5385089172115891","0.3159175079701032","0.5454189506656225","0.2657218401088865","0.49451840250587314"
"Tanjong_Pelumpong","District","11462201,3466,37842745,156653","0.4","0.4016179374482451","0.2492916325635286","0.40174533409771324","0.40145996560290464","0.2512392703985251","0.24961612541424583","0.2888449405488468","0.4140391107713867","0.2449551527784406","0.3944837250780304"
"Tanjong_Pelumpong","District","11462201,11461350,3834440,156653","0.0","0.39512070832537105","0.2449551527784406","0.40174533409771324","0.40145996560290464","0.2512392703985251","0.24961612541424583","0.2888449405488468","0.4140391107713867","0.2449551527784406","0.3944837250780304"
"Tanjong_Pelumpong","District","11462201,3466,219249,156653","0.0","0.4027008089687241","0.2502245495093407","0.40174533409771324","0.40145996560290464","0.2512392703985251","0.24961612541424583","0.2888449405488468","0.4140391107713867","0.2449551527784406","0.3944837250780304"
"Tanjong_Pelumpong","District","11462201,3834440,156653","0.6","0.3944837250780304","0.2888449405488468","0.40174533409771324","0.40145996560290464","0.2512392703985251","0.24961612541424583","0.2888449405488468","0.4140391107713867","0.2449551527784406","0.3944837250780304"
"Tanjong_Pelumpong","District","11462201,3466,19271,156653","0.0","0.4140391107713867","0.2582963091709323","0.40174533409771324","0.40145996560290464","0.2512392703985251","0.24961612541424583","0.2888449405488468","0.4140391107713867","0.2449551527784406","0.3944837250780304"
"Bernard_Casoni","Marc_Berdoll","9786554,10812198,5649839,7492865","0.2","0.23774765380604795","0.025779254319383778","0.25112964893986794","0.25085019117135904","0.03157246005870464","0.02850289423396802","0.06038478261352596","0.2681612791101842","0.025779254319383778","0.2346193952033368"
"Bernard_Casoni","Marc_Berdoll","9786554,250197,7492865","0.8","0.2346193952033368","0.05332704107892976","0.25112964893986794","0.25085019117135904","0.03157246005870464","0.02850289423396802","0.06038478261352596","0.2681612791101842","0.025779254319383778","0.2346193952033368"
"Bernard_Casoni","Marc_Berdoll","9786554,214478,7492865","0.0","0.25554396941258256","0.06038478261352596","0.25112964893986794","0.25085019117135904","0.03157246005870464","0.02850289423396802","0.06038478261352596","0.2681612791101842","0.025779254319383778","0.2346193952033368"
"Bernard_Casoni","Marc_Berdoll","9786554,10791545,5904174,7492865","0.0","0.24358706986444212","0.027591695786052035","0.25112964893986794","0.25085019117135904","0.03157246005870464","0.02850289423396802","0.06038478261352596","0.2681612791101842","0.025779254319383778","0.2346193952033368"
"Bernard_Casoni","Marc_Berdoll","9786554,615838,5237023,7492865","0.0","0.25769899200556134","0.02943247677277779","0.25112964893986794","0.25085019117135904","0.03157246005870464","0.02850289423396802","0.06038478261352596","0.2681612791101842","0.025779254319383778","0.2346193952033368"
"Lists_of_Cultural_Properties_of_the_Philippines","Rizal_Shrine","36890906,36891127,36891121,1858072","1.0","0.5173665539146935","0.31847614158132864","0.5248741852982427","0.5255374969061958","0.33533252280179715","0.32523049291494843","0.3935236592210824","0.5398894480653411","0.31847614158132864","0.5172840524709182"
"Lists_of_Cultural_Properties_of_the_Philippines","Rizal_Shrine","36890906,4770865,1858072","0.0","0.5257817011797706","0.3922131617831435","0.5248741852982427","0.5255374969061958","0.33533252280179715","0.32523049291494843","0.3935236592210824","0.5398894480653411","0.31847614158132864","0.5172840524709182"
"Lists_of_Cultural_Properties_of_the_Philippines","Rizal_Shrine","36890906,4770865,20912119,1858072","0.0","0.5272667271677254","0.32550456173538506","0.5248741852982427","0.5255374969061958","0.33533252280179715","0.32523049291494843","0.3935236592210824","0.5398894480653411","0.31847614158132864","0.5172840524709182"
