"start","stop","path","selection_rate","non_ordered_ratio","ordered_ratio","non_ordered_ratio_median","non_ordered_ratio_mean","ordered_ratio_mean","ordered_ratio_median","ordered_max","non_ordered_max","ordered_min","non_ordered_min"
"Henry_Lizardlover","5USA","6669047,406672,18879190,5448852","0.8","0.21660649819494585","0.04082903580254626","0.4331162970603404","0.21717662132542548","0.040903924874802385","0.08161314811395484","0.042247334594178246","0.22231175863847344","0.04017256253881776","0.215736204228984"
"Henry_Lizardlover","5USA","6669047,406672,13065042,5448852","0.2","0.22231175863847344","0.042247334594178246","0.4331162970603404","0.21717662132542548","0.040903924874802385","0.08161314811395484","0.042247334594178246","0.22231175863847344","0.04017256253881776","0.215736204228984"
"Yang_Lin_(footballer)","Xiao_Zhi","17288021,1741957,8933627,24600599","0.8","0.4154031592970881","0.12130403365864353","0.41667195330838036","0.41697646387109055","0.12243614012819064","0.12268936201472584","0.12300284489435465","0.41876546342701265","0.12130403365864353","0.4152762798959589"
"Yang_Lin_(footballer)","Xiao_Zhi","17288021,16691023,24723772,24600599","0.2","0.41667195330838036","0.12282679120414328","0.41667195330838036","0.41697646387109055","0.12243614012819064","0.12268936201472584","0.12300284489435465","0.41876546342701265","0.12130403365864353","0.4152762798959589"
"Centralia,_IL_Micropolitan_Statistical_Area","Alexander_County,_Illinois","39162178,96206,96292","0.2","0.3654769128923705","0.20371889782075467","0.3671319026866001","0.3676416395432229","0.17619319467726335","0.17439572313443388","0.20371889782075467","0.37281403431345506","0.1733855467816037","0.3654769128923705"
"Centralia,_IL_Micropolitan_Statistical_Area","Alexander_County,_Illinois","39162178,96206,533773,96292","0.4","0.36702157003365143","0.1738345140495282","0.3671319026866001","0.3676416395432229","0.17619319467726335","0.17439572313443388","0.20371889782075467","0.37281403431345506","0.1733855467816037","0.3654769128923705"
"Centralia,_IL_Micropolitan_Statistical_Area","Alexander_County,_Illinois","39162178,96206,329945,96292","0.4","0.3670767363601258","0.1733855467816037","0.3671319026866001","0.3676416395432229","0.17619319467726335","0.17439572313443388","0.20371889782075467","0.37281403431345506","0.1733855467816037","0.3654769128923705"
"Yoshikiyo_Kuboyama","2008_Japan_Football_League","14817181,7754377,21632861,21632697","1.0","0.3339393309785996","0.09851715031794897","0.3356014959484729","0.3361292333264077","0.10250700599321746","0.09970605670842016","0.11489285844340902","0.34271763972574276","0.09851715031794897","0.33383544566798257"
"Jack_Sears","International_Formula_Master","7534179,1513032,52243,11292165","0.4","0.29726146390527136","0.10102256556663053","0.3033420198418141","0.3094518355963974","0.10645064770958713","0.10399636041604608","0.12048332764314923","0.33758515064234446","0.10102256556663053","0.29726146390527136"
"Jack_Sears","International_Formula_Master","7534179,2911403,1022,11292165","0.2","0.30855392493027933","0.10651329956606091","0.3033420198418141","0.3094518355963974","0.10645064770958713","0.10399636041604608","0.12048332764314923","0.33758515064234446","0.10102256556663053","0.29726146390527136"
"Jack_Sears","International_Formula_Master","7534179,3347772,2022221,11292165","0.4","0.3033420198418141","0.10281515776880137","0.3033420198418141","0.3094518355963974","0.10645064770958713","0.10399636041604608","0.12048332764314923","0.33758515064234446","0.10102256556663053","0.29726146390527136"
"Cairns_and_District_Rugby_Union","Victoria_(Australia)","27221188,879304,4437095,4689460","1.0","0.45567618089007117","0.30125241380779433","0.45661082752174853","0.4602602631389747","0.31123155165265604","0.302277298853366","0.3884931474588995","0.4990294054209505","0.2993679889510237","0.45409447120569413"
"The_Magic_Key_(song)","Little_by_Little_(Oasis_song)","22382839,156541,161515,1891965","0.4","0.5454189506656225","0.2959645008994894","0.9925606891151135","0.5014878621769773","0.2749021751823781","0.5385089172115891","0.3159175079701032","0.5454189506656225","0.2657218401088865","0.49451840250587314"
"The_Magic_Key_(song)","Little_by_Little_(Oasis_song)","22382839,156541,1891965","0.2","0.49451840250587314","0.3159175079701032","0.9925606891151135","0.5014878621769773","0.2749021751823781","0.5385089172115891","0.3159175079701032","0.5454189506656225","0.2657218401088865","0.49451840250587314"
"The_Magic_Key_(song)","Little_by_Little_(Oasis_song)","22382839,53207,156541,1891965","0.2","0.4955364134690681","0.2657218401088865","0.9925606891151135","0.5014878621769773","0.2749021751823781","0.5385089172115891","0.3159175079701032","0.5454189506656225","0.2657218401088865","0.49451840250587314"
"The_Magic_Key_(song)","Little_by_Little_(Oasis_song)","22382839,156540,156541,1891965","0.2","0.49498825371965544","0.266583454376425","0.9925606891151135","0.5014878621769773","0.2749021751823781","0.5385089172115891","0.3159175079701032","0.5454189506656225","0.2657218401088865","0.49451840250587314"
"Tanjong_Pelumpong","District","11462201,3466,37842745,156653","0.4","0.4016179374482451","0.2492916325635286","0.40174533409771324","0.40145996560290464","0.2512392703985251","0.24961612541424583","0.2888449405488468","0.4140391107713867","0.2449551527784406","0.3944837250780304"
"Tanjong_Pelumpong","District","11462201,3834440,156653","0.6","0.3944837250780304","0.2888449405488468","0.40174533409771324","0.40145996560290464","0.2512392703985251","0.24961612541424583","0.2888449405488468","0.4140391107713867","0.2449551527784406","0.3944837250780304"
"Bernard_Casoni","Marc_Berdoll","9786554,10812198,5649839,7492865","0.2","0.23774765380604795","0.025779254319383778","0.25112964893986794","0.25085019117135904","0.03157246005870464","0.02850289423396802","0.06038478261352596","0.2681612791101842","0.025779254319383778","0.2346193952033368"
"Bernard_Casoni","Marc_Berdoll","9786554,250197,7492865","0.8","0.2346193952033368","0.05332704107892976","0.25112964893986794","0.25085019117135904","0.03157246005870464","0.02850289423396802","0.06038478261352596","0.2681612791101842","0.025779254319383778","0.2346193952033368"
